# subsample, gamma, colsample_bytree, max_depth, min_child_weight, target
9.106163672893111682e-01,2.783642902065880387e-01,5.057828294121895496e-01,6.715530125245360971e+00,6.603429672026895680e+00,-1.107488000000000028e+00
8.412886440376720065e-01,1.245057918325184643e+00,8.450744119724684644e-01,5.479745218686865371e+00,3.885606236963856208e+00,-1.102758399999999916e+00
7.876824633135353082e-01,3.040689725742337757e+00,9.878889335042222442e-01,6.418761237087514893e+00,1.545550933248133596e+01,-1.107232600000000122e+00
8.966392287189027810e-01,1.579716573830348691e+00,9.397701826375499667e-01,8.352873330342559299e+00,7.169005984557420774e+00,-1.111982999999999944e+00
7.453905039273479582e-01,2.971970285554250246e+00,7.659987200132372109e-01,7.844180205954045526e+00,1.531689573548898053e+01,-1.107868999999999771e+00
8.811305878375921274e-01,9.835858089155843587e+00,7.200374903619949363e-01,6.478068891220465808e+00,1.130154594581964744e+01,-1.132411999999999974e+00
9.834312738096813167e-01,3.867816365633310660e+00,7.064976602044403808e-01,1.177701633327779263e+01,1.456520885356855111e+01,-1.102593000000000156e+00
8.412886631254079539e-01,1.245057939774444344e+00,8.450744245301442525e-01,5.479754588932736148e+00,3.885605567920727754e+00,-1.102758399999999916e+00
8.412886626494946452e-01,1.245058387884344198e+00,8.450744342724333391e-01,5.479745639566305115e+00,3.885606401936841259e+00,-1.102758399999999916e+00
8.412886250416751199e-01,1.245063214998974876e+00,8.450744712716282692e-01,5.479744564696243714e+00,3.885606891411089503e+00,-1.102758399999999916e+00
9.999997181710822414e-01,2.843141518362909625e+00,9.966472241309473068e-01,6.543231760813760012e+00,1.540263716775376679e+01,-1.106220799999999782e+00
9.834312425524607271e-01,3.867813976472710635e+00,7.064976999193535168e-01,1.177701659846026061e+01,1.456520605890075792e+01,-1.102600199999999919e+00
9.435372951253583329e-01,3.545458209124284110e+00,7.560798255514953325e-01,1.203877707610488734e+01,1.559189746501169438e+01,-1.103444800000000114e+00
8.412886547263637160e-01,1.245057952786837729e+00,8.450744257587723407e-01,5.479745146692278190e+00,3.885605563371770099e+00,-1.102758399999999916e+00
9.640331793993434095e-01,3.578907989189560546e+00,7.860595515077781759e-01,1.410212977374291476e+01,1.315970710987754799e+01,-1.102867399999999831e+00
1.000000000000000000e+00,3.586144875519411190e+00,7.407907283275422250e-01,1.202759454397130234e+01,1.560571479881598300e+01,-1.104362800000000089e+00
8.412886599279946198e-01,1.245058254430972067e+00,8.450744138403853967e-01,5.479745494204133927e+00,3.885606156251383059e+00,-1.102758399999999916e+00
6.800100466119671783e-01,3.860824160012737316e+00,9.679838237320665950e-01,1.216942506151976211e+01,1.282064207037076464e+01,-1.108570400000000067e+00
9.834312412037408135e-01,3.867814384861558707e+00,7.064985858698034082e-01,1.177701597629329733e+01,1.456521846941565990e+01,-1.102600199999999919e+00
9.640331265121226956e-01,3.578904741777711340e+00,7.860594632284085836e-01,1.410212880226918841e+01,1.315970367784943207e+01,-1.102812399999999915e+00
9.999999961902547030e-01,2.680530515764278920e+00,5.000000000000000000e-01,6.962928336067257362e+00,5.141085475499313162e+00,-1.102629199999999976e+00
5.000003719666826774e-01,3.600142204111306476e+00,8.160684269682793035e-01,1.156198740113126000e+01,1.893730778416872340e+01,-1.123913799999999963e+00
9.784590326556745765e-01,9.387022895332142625e+00,8.781220387085136858e-01,9.819193180330223925e+00,9.502790607176956783e+00,-1.126974399999999932e+00
7.468372328993518883e-01,6.219438866521709741e+00,7.401486482934296340e-01,9.193577171366451140e+00,1.970508705284338546e+01,-1.117415999999999965e+00
